year,annual_average_index,months,deflator_to_2024,source_url,retrieved_at
2017,4848.310833333333,12,1.4339165891625831,https://sidra.ibge.gov.br/tabela/1737,2026-08-10 07:43:12 UTC
2018,5025.994166666666,12,1.3832235181331456,https://sidra.ibge.gov.br/tabela/1737,2026-08-10 07:43:12 UTC
2019,5213.613333333334,12,1.333446285493618,https://sidra.ibge.gov.br/tabela/1737,2026-08-10 07:43:12 UTC
2020,5381.0625,12,1.2919517908095908,https://sidra.ibge.gov.br/tabela/1737,2026-08-10 07:43:12 UTC
2021,5827.78,12,1.1929196595158593,https://sidra.ibge.gov.br/tabela/1737,2026-08-10 07:43:12 UTC
2022,6368.604166666667,12,1.091616491054751,https://sidra.ibge.gov.br/tabela/1737,2026-08-10 07:43:12 UTC
2023,6661.15,12,1.0436746407652333,https://sidra.ibge.gov.br/tabela/1737,2026-08-10 07:43:12 UTC
2024,6952.073333333334,12,1,https://sidra.ibge.gov.br/tabela/1737,2026-08-10 07:43:12 UTC
